"Site","Control","N","P","Fe","Zn","NP","NPFe","PFe","PFeMo","PFeNi","NFe","NFeZn","NxP","NPxFe","PxFe","Mo","Ni","NxFe","NFexZn","NxPcl","NPxFecl","PxFecl","PFexMocl","PFexNicl","NxFecl","NFexZncl"
"Chance",1.38,0.177478932318167,0.0682679711290031,0.192236013851133,0.362022936738683,0.216746321006475,0.39184622057336,0.283597655609556,0.19074012725955,0.214409871345455,0.247011032720853,0.256774534988704,-0.0228260869565216,0.0257246376811593,0.0452898550724634,-0.117753623188406,-0.088768115942029,-0.125966183574879,-0.423671497584541,"No lim","No lim","No lim","No lim","No lim","No lim","Antag NFe"
"Chapel",2.668,0.313945834679345,0.517735726899353,0.137739169182115,0.131843311946062,0.137085787910912,0.612487403477766,0.416152422457078,-0.0876930867440285,-0.189241999638529,-0.448350699646253,0.289554381555185,-0.900112443778111,0.550412293853074,-0.309782608695652,-0.600074962518741,-0.688530734632684,-0.877811094452774,0.556221889055472,"Antag N","Simult","Single P","Antag Mo","Antag Ni","Neg","Rescue"
"Old Woman",4.916,-0.18053308383532,0.0119301789067675,0.110068698719796,0.0141387933975777,0.0964929994883212,0.138806308487153,0.101283869164063,0.0296614931380867,0.112858777560139,-0.0453583054670676,0.130985436770972,0.254475183075672,-0.0687550854353135,-0.0217656631407651,-0.0764849471114726,0.0128831027935993,0.00447518307567133,0.170056956875509,"No lim","No lim","No lim","No lim","No lim","No lim","No lim"
"Fish",3.804,-0.0320540262900835,-0.115813367893336,-0.104659744781216,-0.0590157695002027,-0.075322006538599,-0.130082337694535,-0.137897225678773,-0.181060522578927,-0.108754515053711,-0.0685423195532202,-0.221567506858744,0.068349106203996,0.0499474237644583,0.0799158780231336,-0.0368033648790747,0.0257623554153522,0.0646687697160885,-0.0751840168243953,"No lim","No lim","No lim","No lim","No lim","No lim","No lim"
"Breakneck",3.388,0.0696813396724931,-0.143532323509748,0.112126242304527,0.0483965408618502,0.121057218399347,0.0656816101832954,0.0410580941553976,0.0744873908045922,0.104843853285186,0.0616195661931994,0.114761289942532,0.190230224321133,-0.179456906729634,0.0569657615112162,0.0354191263282171,0.0686245572609209,-0.127262888626525,0.00846123573396312,"No lim","No lim","No lim","No lim","No lim","No lim","No lim"
"Mahoning",0.606,1.1880044011472,0.182734012976333,-0.220671362168821,0.50486731418236,0.923525225775088,1.24471558778829,0.451685048722051,0.0639195177132875,0.725617565590729,0.946842344330317,0.783042184676493,-0.962871287128713,1.15181518151815,0.568481848184818,-0.504950495049505,0.495049504950495,-0.504950495049505,-1.04620462046205,"Antag P","Serial NP : Fe","Simult","Antag Mo","Ind","Antag Fe","Ind sub"
"Rocky",0.61,0.991023021201269,0.0519078596020181,0.0242926925690445,0.426017481061486,0.154618954244619,-0.282232467684216,0.533517034968061,0.278624785339271,0.683262421327403,0.44300302742723,0.380007175412652,-1.58005464480874,-0.437704918032787,0.627049180327869,-0.383606557377049,0.275409836065574,-1.16120218579235,-0.626229508196721,"Antag P","Neg","Simult","Single PFe","Single PFe","Antag Fe","Ind sub"
"CRO",0.295,0.645415777738755,0.18795537451221,0.0655972824858131,-0.0257524961024149,-0.293347809987458,-0.453196510929355,-0.178937458809714,0.0875761892045884,-0.0762833047496307,0.41109892582642,-0.145711811181394,-1.36779661016949,-0.177966101694915,-0.438418079096045,0.255367231638418,0.0903954802259889,-0.466101694915254,-0.61864406779661,"Antag P","No lim","Neg","No lim","No lim","Antag Fe","Antag Zn"
"FRY",1.094,-0.139030948190561,-0.264194091144567,-0.36427754970155,-0.0240529634617864,-0.0315717958758137,0.06030195442993,-0.14113399838734,-0.0779121331345157,-0.0448673383570584,0.0654521804062457,0.26222362738126,0.330895795246801,0.398537477148081,0.405850091407678,0.056672760511883,0.0877513711151737,0.502742230347349,0.255941499085923,"No lim","Rescue","Rescue","No lim","No lim","Rescue","No lim"
"NB Au Sable",1.068,0.480018852123233,0.307154175864601,-0.0738199122352674,-0.125537744943777,1.25916299034084,1.10855025865824,0.375044511407453,0.26207612154661,0.342340484989645,0.56335411004603,0.689394830941395,1.54681647940075,-0.421348314606741,0.166666666666667,-0.155430711610487,-0.0468164794007491,0.211610486891386,0.353932584269663,"Serial N : P","Antag Fe","No lim","Single PFe","Single PFe","Single N","Single NFe"
"Manistee",1.792,0.312755710003897,0.272783694285346,-0.175204089025091,-0.123379021160505,0.583561481531777,0.784798075939481,0.14034407104203,0.247836163904581,0.222250295336995,0.340926586970593,0.319265090189414,0.111607142857143,0.560267857142857,-0.00223214285714286,0.130580357142857,0.0982142857142855,0.199776785714286,0.0859375,"No lim","Serial NP : Fe","No lim","No lim","No lim","No lim","Single NFe"
"EB Au Sable",1.672,0.379615526646839,0.116186866123561,-0.0770567394949744,-0.0604003646672983,0.571844201183097,0.722613071902974,0.00715140115762531,-0.0120338395637236,-0.0680534632450156,0.359780165590693,0.531190997278485,0.186602870813397,0.36244019138756,-0.0418660287081341,-0.0191387559808614,-0.0729665071770336,0.0454545454545452,0.326555023923445,"Single N","Single NP","No lim","No lim","No lim","Single N","Single NFe"
"Stony",0.723333333333333,-0.47462257510203,0.0137301928119023,-0.0765924454813837,-0.117207164635574,0.00230149698827939,-0.452643668383255,-0.023311078868447,0.0913223478850403,0.113164089800089,0.0160003413464413,0.346950394046738,0.366359447004608,-0.292626728110599,0.0368663594470045,0.118663594470046,0.142857142857143,0.467741935483871,0.509216589861751,"Neg","No lim","No lim","No lim","No lim","Rescue","Simult"
