"Site","Control","N","P","Fe","Zn","NP","NPFe","PFe","PFeMo","PFeNi","NFe","NFeZn","NxP","NPxFe","PxFe","Mo","Ni","NxFe","NFexZn","NxPcl","NPxFecl","PxFecl","PFexMocl","PFexNicl","NxFecl","NFexZncl"
"Chance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chapel",0.012,-0.8754687373539,-0.8754687373539,-0.8754687373539,0.405465108108165,3.14271446390264,2.75551673834113,-0.8754687373539,1.57553636075842,1.36524095192206,0.510825623765991,-0.8754687373539,23.3333333333333,-6.85416666666667,0.583333333333333,4.41666666666667,3.5,1.83333333333333,-1.75,"Rescue","Antag Fe","Rescue","Simult","Simult","Rescue","Ind sub"
"Old Woman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breakneck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mahoning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rocky",0.008,3.82501162843852,-0.470003629245736,-0.470003629245736,-0.470003629245736,1.25276296849537,1.55814461804655,-0.470003629245736,-0.470003629245736,-0.470003629245736,2.82583323675859,2.53567897516142,-41.9583333333333,1.625,0.375,0,0,-28.5833333333333,-3.875,"Antag P","Serial NP : Fe","Neg","No lim","No lim","Antag Fe","Antag Zn"
"CRO",0.005,0,0,0,0,0,0.22314355131421,0,0,0,0,0,0,0.25,0,0,0,0,0,"No lim","No lim","No lim","No lim","No lim","No lim","No lim"
"FRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NB Au Sable",0.072,0.287682072451781,1.09861228866811,-0.182321556793955,-0.364643113587909,-0.0281708769666961,-2.484906649788,1.32913594727994,1.11696142733631,0.970357953144431,0.189241999638529,0.0800427076735366,-2.36111111111111,-0.722222222222222,0.944444444444445,-0.722222222222223,-1.13888888888889,0.0416666666666667,0.180555555555555,"Antag N","Neg","Serial P : Fe","Antag Mo","Antag Ni","No lim","Neg"
"Manistee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EB Au Sable",0.265,-3.27714473299218,-0.256719846847814,-0.809045201520557,-1.40534255609059,-2.05336930137006,-3.97029191355212,-0.834797697622972,-1.16088921818962,-0.906900991524316,-3.97029191355212,-0.261609832142006,0.316981132075472,0.445283018867924,0.215094339622641,-0.120754716981132,-0.030188679245283,0.535849056603774,1.50566037735849,"Neg","Rescue","Neg","No lim","No lim","Rescue","Rescue"
"Stony",0.005,0,0,0,0,0,0,1.79175946922805,0,0,0,0,0,0,5,-5,-5,0,0,"No lim","No lim","Simult","Antag Mo","Antag Ni","No lim","No lim"
"Paint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
