Site,Fe_TF,N_TF,P_TF,Zn_TF,Ni_TF,Mo_TF
Chance,Yes,No,No,No,No,No
Chapel,No,Yes,Yes,Yes,No,No
Old Woman,No,Yes,Yes,No,No,No
Fish,No,Yes,No,No,No,No
Breakneck,Yes,Yes,Yes,Yes,Yes,Yes
Mahoning,Yes,Yes,Yes,No,No,Yes
Rocky,No,Yes,Yes,Yes,No,No
CRO,Yes,Yes,Yes,Yes,No,No
FRY,No,Yes,No,No,No,No
NB Au Sable,No,Yes,No,No,No,No
Manistee,No,Yes,Yes,No,No,No
EB Au Sable,No,Yes,No,No,No,No
Stony,No,No,No,Yes,No,No
Paint,No,No,No,No,No,No
Elm,Yes,Yes,No,No,No,No
Cedar,No,No,No,No,No,No
Pine,Yes,Yes,No,No,Yes,No
Mountain,No,Yes,No,Yes,No,No
Lost,No,Yes,No,No,No,No
Yellow Dog,No,Yes,No,No,No,Yes
Big Pup,No,No,No,No,No,No
Clark,No,Yes,Yes,No,No,No
Big Garlic,Yes,No,Yes,No,No,No
Salmon Trout,No,Yes,No,No,No,No
Trap Rock,Yes,Yes,Yes,No,No,No
Cliff,Yes,Yes,Yes,Yes,No,No
Trout Brook,Yes,Yes,Yes,No,No,No
Gratiot,Yes,Yes,Yes,No,No,No
Central,Yes,Yes,Yes,Yes,No,No
Hills,Yes,Yes,No,No,No,No
Pilgrim,Yes,Yes,No,No,No,No
Tenderfoot,Yes,Yes,No,No,No,No
Shady,Yes,No,Yes,No,No,Yes
Chagrin,No,Yes,Yes,No,No,No
Cemetary,No,Yes,No,No,No,No
U36,Yes,Yes,Yes,Yes,No,No
Beaver Dam,Yes,Yes,No,No,No,No
Crouch,Yes,No,Yes,Yes,No,Yes
U8,Yes,No,Yes,Yes,No,No
McQueen,No,No,Yes,Yes,Yes,Yes
TC5,Yes,Yes,Yes,Yes,No,No
