"Site","Control","N","P","Fe","Zn","NP","NPFe","PFe","PFeMo","PFeNi","NFe","NFeZn","NxP","NPxFe","PxFe","Mo","Ni","NxFe","NFexZn","NxPcl","NPxFecl","PxFecl","PFexMocl","PFexNicl","NxFecl","NFexZncl"
"Chance",5.574,0.150221704394372,-0.0474388171550827,0.457585314028435,0.169895672957662,0.0919447684496743,0.0817800400650207,0.595980686117158,0.325150765251467,0.209720530982069,-0.325422400434628,0.236360450656045,-0.0194564047362758,-0.591340748714269,0.280887453653869,-0.430570505920345,-0.581476498026552,-1.02012319100586,0.35922736514771,"No lim","Antag NP","Single Fe","Antag Mo","Antag Ni","Antag N","Neg"
"Chapel",11.561,0.631442917235365,0.650967331781436,0.262344303258773,0.223126251623009,0.365373272045512,0.806943384795793,0.452530696793018,-0.123408203641267,-0.311768231714705,-0.0512887418869759,0.620217876481665,-1.35666464838682,0.500021624426953,-0.645082605310959,-0.688383357841017,-0.840134936424185,-1.23029149727532,0.659350402214342,"Ind sub","Serial NP : Fe","Antag Fe","Antag Mo","Antag Ni","Antag Fe","Simult"
"Old Woman",30.44,0.0547731066620055,0.0701587852086313,0.319222758003114,-0.0306471899842608,0.570649120871898,0.376377723422221,0.0539703910757789,-0.021937295670379,0.348051579407165,0.477734835815226,0.115485172008361,0.640435830048183,-0.688475689881735,-0.393282961016207,-0.0771517739816032,0.360851949189663,0.180059132720105,-0.45981767411301,"Simult","Antag Fe","Neg","No lim","No lim","No lim","Antag Zn"
"Fish",15.7722,0.356510083340676,0.0245623966249988,-0.0105293650745394,0.0194517374910014,0.454834182632384,0.334038236333666,0.160483535030167,-0.0482539211662476,0.0743878106099705,0.303598779125895,0.31917856464887,0.12270957761124,-0.168841379135441,0.159686029849989,-0.221186644856139,-0.0968539582303039,-0.0631364045599221,0.0016294492841836,"Single N","Single NP","No lim","No lim","No lim","Single N","No lim"
"Breakneck",15.4008,0.677146210842095,0.454306391795039,0.400082963791936,0.7754454669552,0.412573611272296,0.390607121260105,0.280441197866712,0.738341711614201,0.606921758386512,0.332237155768411,0.308892725727339,-1.03263250393919,-0.524771440444653,-0.743315282322996,0.768749026024622,0.511061113708379,-1.06611777743148,-1.20372642979585,"Ind sub","Ind sub","Ind sub","Simult","Simult","Ind sub","Ind sub"
"Mahoning",2.63225,0.935640725083731,0.145661907407129,-0.22314355131421,0.16253032652657,0.128637682782956,0.910740167425883,-0.315617979807432,0.169096169232537,-0.283934394561719,0.522454957383644,0.624127172767329,-1.56837306486846,1.54888403457118,-0.227466995916042,0.454896001519613,0.0234780131066578,-0.662684015576028,0.00396998765314864,"Antag P","Simult","No lim","Simult","No lim","Antag Fe","Single NFe"
"Rocky",1.404,1.75924461651122,0.480784867796566,0.0289570113768289,1.51694143427372,2.01478905393436,0.0977676601848566,0.58162123780673,1.01405839205901,1.37133256218739,0.9102325319428,-0.00750673766375361,1.07375356125356,-6.42581908831909,0.142212725546059,0.967830009496676,2.15166191832858,-3.35252849002849,-5.05064102564103,"Ind sup","Antag Fe","Single P","Ind","Ind","Antag Fe","Ind sub"
"CRO",0.56775,-0.0955744155041051,0.0447771743631832,0,-0.146765715909212,-0.0955744155041051,0.898072054222761,-0.606184730839939,-0.31883909818543,-0.23837715212215,-0.239122586372099,0.934183419560865,-0.0457948040510789,1.54601497137825,-0.500366945545281,0.181564655805079,0.242477616321738,-0.121532364597094,1.89431968295905,"No lim","Simult","Neg","No lim","No lim","No lim","Simult"
"FRY",1.631,0.474667781142695,0.173700813750048,0.0433448670327637,0.284427241070945,0.284334968867881,-0.0858972328155524,0.210432823018778,0.184363207156064,-0.0193459566014442,0.426217020807971,0.550447143252662,-0.468301655426119,-0.455487431023912,0.000214592274678156,-0.0317596566523604,-0.25337216431637,-0.120324954015941,-0.126425505824647,"Antag P","Neg","No lim","No lim","No lim","Single N","Single NFe"
"NB Au Sable",3.845,1.04107133398726,0.161959605354861,-0.0396848000186917,-0.223208572933921,1.85294386702636,1.73134938876529,-0.0679531001429497,0.0199301083972793,0.0795424325117694,1.25906666972602,1.41410937358953,3.37050715214564,-0.691391417425228,-0.20260078023407,0.0858257477243173,0.148487212830516,0.728790637191157,0.79074122236671,"Serial N : P","Antag Fe","No lim","No lim","No lim","Serial N : Fe","Serial NFe : Zn"
"Manistee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EB Au Sable",3.489,1.35317822156659,0.0117960167685633,0.212389458149729,0.0795796068746807,1.5559488495291,1.83987153613964,0.2772668872249,0.183276484292036,0.111822822916387,1.37136547839713,1.32053602685631,0.858010891372886,1.3195184866724,0.0710232158211526,-0.118372026368587,-0.201203783319003,-0.165606190885641,-0.278131269704787,"Serial N : P","Serial NP : Fe","No lim","No lim","No lim","Single N","Single NFe"
"Stony",1.858,-0.182536865224111,-0.0376575293903759,0.0716445374976254,-0.138721937977953,-0.492867989458281,-0.287682072451781,-0.0378438358650647,-0.216204549568322,-0.117513965292861,-0.251391318827251,0.0713104803707508,-0.185324721923215,0.0648546824542518,-0.0744528166487259,-0.157292787944026,-0.0737351991388591,-0.129709364908504,0.425726587728741,"No lim","Neg","No lim","No lim","No lim","No lim","Simult"
"Paint",6.5648,-0.109519231026948,-0.332671280286779,-0.0921649970329297,-0.0352218948202694,-0.028679345060831,-0.123657250001827,0.0930531867457008,-0.0254865542933647,-0.0482769519906228,-0.236608153819214,-0.20518638673919,0.358457226419693,0,0.468559590543505,-0.122684621009018,-0.14465025591031,-0.0189190835973675,0.059803802096027,"Neg","No lim","Rescue","No lim","No lim","No lim","No lim"
