"Site","Control","N","P","Fe","Zn","NP","NPFe","PFe","PFeMo","PFeNi","NFe","NFeZn","NxP","NPxFe","PxFe","Mo","Ni","NxFe","NFexZn","NxPcl","NPxFecl","PxFecl","PFexMocl","PFexNicl","NxFecl","NFexZncl"
"Chance",0.39,0.186585955580412,0.0377403279828469,0.154150679827258,0.336472236621213,0.207639364778245,0.45384818902345,0.238411023444998,0.197168064910949,0.151950458917656,0.319230430186707,0.314249099836503,-0.0128205128205125,0.176923076923077,0.0641025641025642,-0.0512820512820513,-0.105128205128205,0.00427350427350409,-0.406837606837607,"No lim","No lim","No lim","No lim","No lim","No lim","Antag NFe"
"Chapel",1.262,0.385725870244988,0.551203779709388,0.149839839345438,0.0674068283313165,0.0569823109954327,0.570424269649496,0.415713522599532,-0.0470484172323921,-0.135571053388299,-0.411824430016457,0.328060228395178,-1.14738510301109,0.548732171156894,-0.381537242472266,-0.561410459587956,-0.642234548335975,-0.969889064976228,0.656101426307449,"Ind sub","Simult","Single P","Antag Mo","Antag Ni","Antag Fe","Rescue"
"Old Woman",2.16,-0.174573870003129,0.0485696813110808,0.0749013081731177,-0.0971637484536479,0.105360515657826,0.172240044497371,0.130053128248198,0.0363676441708748,0.150174531447619,-0.0503191101897074,0.178456070728377,0.221527777777778,-0.000925925925925824,0.0113425925925929,-0.101851851851852,0.0231481481481483,0.0333333333333338,0.337037037037037,"No lim","No lim","No lim","No lim","No lim","No lim","No lim"
"Fish",1.52,-0.0471467784257021,-0.0694629067482493,-0.108288775436915,-0.0307305410910402,-0.0908464727735722,-0.117125357237413,-0.151741304003946,-0.259998643703364,-0.186012570739164,-0.0765400771223343,-0.354797009114532,0.0263157894736845,0.0789473684210527,0.0289473684210527,-0.0881578947368422,-0.0289473684210527,0.0749999999999999,-0.194736842105263,"No lim","No lim","No lim","No lim","No lim","No lim","No lim"
"Breakneck",1.368,-0.0281708769666963,-0.195566783543975,0.119730455940779,-0.0982384395834133,0.132617232217136,0.0330727482740221,0.0582137372321242,0.0512932943875505,0.023122417420854,0.0038910554929665,0.0540672212702756,0.347222222222222,-0.235380116959064,0.110380116959064,-0.00730994152046784,-0.0365497076023392,-0.0955165692007796,0.145224171539961,"No lim","No lim","No lim","No lim","No lim","No lim","No lim"
"Mahoning",0.168,1.55059741241117,0.161774604937918,-0.241162056816888,0.566395474920801,1.11044674631511,1.63296840984429,0.532027831416593,0.184303717997946,0.949080554697146,1.26291533995939,0.944461608840851,-1.85416666666667,2.29761904761905,0.741071428571428,-0.5,0.880952380952381,-0.964285714285714,-1.72619047619048,"Antag P","Serial NP : Fe","Simult","Antag Mo","Ind","Antag Fe","Ind sub"
"Rocky",0.236,0.987165071460812,-0.104889816661139,0.0168071183163812,0.41109892582642,0.0414997309067528,-0.508004747424349,0.44967120061266,0.22652764929845,0.680353829100036,0.394101349457849,0.291910408561302,-1.54166666666667,-0.457627118644068,0.650423728813559,-0.313559322033898,0.406779661016949,-1.21751412429379,-0.652542372881356,"Antag P","Neg","Simult","Single PFe","Ind","Antag Fe","Ind sub"
"CRO",0.09,0.606135803570316,0.125163142954006,0.0800427076735366,0.22314355131421,-0.182321556793955,-0.693147180559945,-0.037740327982847,-0.0689928714869513,-0.117783035656383,0.308301359654517,-0.182321556793955,-1.13333333333333,-0.416666666666666,-0.253703703703704,-0.0296296296296296,-0.0740740740740741,-0.555555555555555,-0.777777777777778,"Antag P","Neg","No lim","No lim","No lim","Antag Fe","Neg"
"FRY",0.328,-0.172612742666994,-0.457882268713391,-0.48227372183755,-0.123132685403624,-0.069428506431763,0.0649195460993155,-0.158224005214894,-0.187211542088146,-0.172612742666994,-0.0184620628397354,0.298296273693554,0.458841463414634,0.516768292682927,0.603658536585366,-0.024390243902439,-0.0121951219512195,0.522865853658537,0.48170731707317,"Rescue","Rescue","Rescue","No lim","No lim","Rescue","Simult"
"NB Au Sable",0.432,0.833311618412464,0.308301359654517,-0.0234202742080985,-0.0620724286423776,1.53247687129797,1.37699196845758,0.321815078821239,0.200670695462151,0.315081046639895,0.977350988635401,1.15851043024918,1.96759259259259,-0.643518518518519,0.0416666666666667,-0.157407407407407,-0.00925925925925927,0.37962962962963,0.587962962962963,"Serial N : P","Antag Fe","No lim","No lim","No lim","Single N","Serial NFe : Zn"
"Manistee",0.458,0.446810982846461,0.503814201528187,-0.280430409056461,-0.0220759516991998,0.95483940199139,1.14552920845586,0.296377779419335,0.495867139835655,0.392278103826211,0.587301345795287,0.592143970271075,0.379912663755458,0.790393013100436,-0.0655021834061136,0.296943231441048,0.135371179039301,0.480349344978166,0.0305676855895197,"Ind add","Serial NP : Fe","Single P","No lim","No lim","Serial N : Fe","Single NFe"
"EB Au Sable",0.608,0.663094835493544,0.308838272419093,0.108972405974229,0.0606246218164348,0.92676203174145,1.05833838953017,0.236215632881563,0.0941132915704788,0.100083458556983,0.730278161134991,0.742876752971313,0.223684210526316,0.240131578947368,-0.210526315789474,-0.167763157894737,-0.161184210526316,0.0197368421052632,-0.0361842105263155,"Single N","Single NP","No lim","No lim","No lim","Single N","Single NFe"
"Stony",0.313333333333333,-0.759105148351743,-0.368907512374367,-0.384411698910332,-0.448950220047903,-0.309188277672744,-0.672093771362113,-0.482851771723585,-0.277099963121244,-0.309188277672744,-0.320117348204935,-0.0773866636154203,0.574468085106383,0.0957446808510639,0.24468085106383,0.140957446808511,0.117021276595745,0.577127659574468,0.561170212765957,"Rescue","Neg","Neg","No lim","No lim","Rescue","Rescue"
"Paint",0.618,-0.207888337765962,-0.161187244719981,-0.109323770710407,-0.0328977035070591,-0.10212949507638,0.113097498159979,0.147191709502955,0.0255604969795351,0.0535561044689623,0.0128619136424078,0.0627164738676265,0.239482200647249,0.320388349514563,0.411003236245955,-0.132686084142395,-0.103559870550162,0.3042071197411,0.0841423948220065,"No lim","No lim","Simult","No lim","No lim","No lim","No lim"
"Elm",0.318,0.999521386023879,0.0186921330121525,0.292387963489194,0.0309622256039669,1.18299968094566,0.833729131181135,0.0550597771830274,0.287682072451781,-0.22471711576164,1.11730442168026,0.833729131181135,0.528301886792453,-1.30188679245283,-0.30188679245283,0.276729559748428,-0.257861635220126,NA,-0.786163522012579,"Serial N : P","Antag Fe","No lim","No lim","No lim",NA,"Antag Zn"
