Site,Control,Fe_TF,N_TF,P_TF,Zn_TF,Ni_TF,Mo_TF
Chance,5.57,Yes,No,No,No,No,No
Chapel,11.56,No,Yes,Yes,Yes,No,No
Old Woman,30.44,No,Yes,Yes,No,No,No
Fish,15.77,No,Yes,No,No,No,No
Breakneck,15.40,Yes,Yes,Yes,Yes,Yes,Yes
Mahoning,2.63,Yes,Yes,Yes,No,No,Yes
Rocky,1.40,No,Yes,Yes,Yes,No,No
CRO,0.57,Yes,Yes,Yes,Yes,No,No
FRY,1.63,No,Yes,No,No,No,No
NB Au Sable,3.85,No,Yes,No,No,No,No
Manistee,1.79,No,Yes,Yes,No,No,No
EB Au Sable,3.49,No,Yes,No,No,No,No
Stony,1.86,No,No,No,Yes,No,No
Paint,6.56,No,No,No,No,No,No
Elm,2.27,Yes,Yes,No,No,No,No
Cedar,15.84,No,No,No,No,No,No
Pine,5.21,Yes,Yes,No,No,Yes,No
Mountain,9.19,No,Yes,No,Yes,No,No
Lost,10.09,No,Yes,No,No,No,No
Yellow Dog,5.86,No,Yes,No,No,No,Yes
Big Pup,10.63,No,No,No,No,No,No
Clark,9.52,No,Yes,Yes,No,No,No
Big Garlic,15.66,Yes,No,Yes,No,No,No
Salmon Trout,14.43,No,Yes,No,No,No,No
Trap Rock,5.11,Yes,Yes,Yes,No,No,No
Cliff,7.69,Yes,Yes,Yes,Yes,No,No
Trout Brook,12.62,Yes,Yes,Yes,No,No,No
Gratiot,5.01,Yes,Yes,Yes,No,No,No
Central,0.93,Yes,Yes,Yes,Yes,No,No
Hills,4.18,Yes,Yes,No,No,No,No
Pilgrim,8.46,Yes,Yes,No,No,No,No
Tenderfoot,15.48,Yes,Yes,No,No,No,No
Shady,3.90,Yes,No,Yes,No,No,Yes
Chagrin,2.73,No,Yes,Yes,No,No,No
Cemetary,2.70,No,Yes,No,No,No,No
U36,0.07,Yes,Yes,Yes,Yes,No,No
Beaver Dam,0.65,Yes,Yes,No,No,No,No
Crouch,0.15,Yes,No,Yes,Yes,No,Yes
U8,0.70,Yes,No,Yes,Yes,No,No
McQueen,0.15,No,No,Yes,Yes,Yes,Yes
TC5,0.26,Yes,Yes,Yes,Yes,No,No
