"COMID","Stream","WSAREASQKM","SANDWS","CLAYWS","MANUREWS","FERTWS","CBNFWS","CHEMWS","BFIWS","NABD_DENSWS","RUNOFFWS","NPDESDENSWS","SUPERFUNDDENSWS","TRIDENSWS","PRECIP8110WS","TMEAN8110WS","WWTPALLDENSWS","SW_FLUXWS","INORGNWETDEP2008WS","SN2008WS","NWS","PCTDECID2019WS","PCTCONIF2019WS","PCTURBHI2019WS","PCTURBLO2019WS","PCTURBMD2019WS","PCTURBOP2019WS","PCTCROP2019WS","PCTHAY2019WS","PCTMXFST2019WS","MGOWS","K2OWS","AL2O3WS","NA2OWS","SIO2WS","CAOWS","P2O5WS","SWS","FE2O3WS","PERMWS","RCKDEPWS","OMWS","MINEDENSWS","SEPTICWS","NANIWS","NSURPWS","RDDENSWS","COALMINEDENSWS","PCTIMP2019WS","PTSOURCE","PCTURB","PCTFOR","PCTAG"
"1088235","CRO",2.4147,30.46,20.04,0,0,0,0.929372280848237,35.6262,0,454,0,0,0,1105.56409815,12.2638002727,0,232949,3.1263,459.9875,0.0953,87.03,1.45,0.07,0.34,0.07,0.86,0,0,8.54,1.7361,1.9363,9.7352,0.6794,62.2012,2.1657,0.193,0.3642,3.1411,7.28,111.49,0.59,0,5.995,2237.29072899247,2832.7536514301,1.2632,0,0.29,0,1.34,97.02,0
"1088709","FRY",5.697,30.8911200631912,19.913410742496,0.0656,0.7212,0.1967,0.797172353824121,36,0,454,0,0,0,1172.08819295,12.0617547067,0,233229.1166,3.227,474.7732,0.0953,88.55,0.17,0.03,1.6,0.25,3.48,0,1.45,0.49,1.7361,1.9363,9.7352,0.6794,62.2012,2.1657,0.193,0.3642,3.1411,7.66837440758294,110.525698262243,0.585399684044234,0,5.995,4940.73038800245,6585.34877010619,3.4292,0,0.99,0,5.36,89.21,1.45
"11936949","Central",7.0326,55.994861786537,10.2843434860507,0,0.0622,0.0898,0.883309174799533,56,0,410,0,0,0,785.717982482723,4.81178315080625,0,51347,3.4399,375.8581,0.0062,27.76,2.01,0.03,1.87,0.29,2.76,0,0,24.44,5.3604,1.2307,15.2654,2.9125,53.1682,8.179,0.3087,0.0252,9.5266,7.04145380087023,141.790511901715,13.5363731763501,0,0.821,2085.33535083331,3776.94091223431,1.3792,0,0.95,0,4.95,54.21,0
"11936977","Cliff",8.7615,61.8573980482794,10.2315172059579,0,0.0157,0.0227,0.900936594849674,56,0,410,0,0,0,763.041977265537,4.99376716187982,0,51347,3.5315,385.9975,0.0062,18.95,7.7,0.03,1.56,0.4,1.59,0,0.03,46.74,5.3604,1.2307,15.2654,2.9125,53.1682,8.179,0.3087,0.0252,9.5266,7.02289779147406,137.760773497689,1.9524499229584,0,0.821,3395.15412693198,5205.17453899539,0.9952,0,0.87,0,3.58,73.39,0.03
"11937025","Gratiot",44.9883,64.4427711204913,9.09282213375478,0,0.0029,0.0042,0.920916511685508,56.169,0,410,0,0,0,749.117591893892,5.04112253009782,0,54892.5283,3.4549,377.6502,0.0058,14.35,5.67,0.04,0.92,0.26,2.61,0,0.09,44.86,4.9675,1.2803,14.7332,2.7361,55.0008,7.603,0.2939,0.0272,8.9232,10.1621259527477,145.867404125073,1.34133994838658,0,0.821,16836.1975020884,26304.0962753756,1.1677,0,0.65,0,3.83,64.88,0.09
"11937201","Trap Rock",77.148,65.3614256882874,9.05080809612692,0.1298,0.3487,0.5661,0.817459355120096,56.1439,0.0259,410,0,0.013,0,730.774991146757,5.09588484685021,0,51347,3.3996,371.6549,0.0075,26.47,2.75,0.38,2.81,1.24,3.08,0.02,5.27,35.5,3.7675,1.4626,12.718,2.047,60.2878,5.5724,0.2474,0.0747,6.9097,9.96402344843678,150.542495450303,1.29308049463369,0,2.0025544,34819.4502351999,48917.1442398602,1.5822,0,2.29,0.013,7.51,64.72,5.29
"11937543","Pilgrim",62.9595,63.6078156205934,9.00315879593657,0.3188,0.85,1.3813,0.803004919405266,58.4862,0,410,0,0,0,748.43382173969,5.52768585030377,0.0159,51339.2181,3.4632,378.8674,0.0077,39.33,2.01,0.83,3.06,1.65,3.2,0,7.94,24.86,3.2738,1.5327,11.9486,1.7859,62.5555,4.7666,0.2279,0.0869,6.1082,8.82966560188782,151.3309223287,0.634246742964083,0,2.612,48689.6526693809,56172.8165958896,1.5066,0,3.07,0.0159,8.74,66.2,7.94
"11951997","Trout Brook",47.4264,47.1164853119781,11.5770400030363,0,0,0,0.908588716987062,57.266,0,353,0,0,0,833.534507894337,4.41680841648322,0,45304,3.5562,379.819,0.0053,48.71,0.19,0.01,0.18,0.03,3.9,0,0,9.75,2.6306,1.7554,12.0953,1.8979,64.3731,3.6255,0.1545,0.0958,6.5718,5.38943999544557,149.557657696979,14.5047669652346,0,1.166,19408.7999853863,33265.8894042698,1.0065,0,0.16,0,4.12,58.65,0
"11952127","Tenderfoot",60.9318,48.1444685533662,11.3061286224927,0,0,0,0.926642870620265,59.4371,0,352.8149,0,0,0,795.994257400077,4.30581485594222,0,45298.2512,3.0057,320.1979,0.1721,23.92,1.08,0,0.09,0.02,4.5,0,0,9.85,1.2306,2.4756,13.0544,1.7027,59.602,1.3651,0.1856,0.0682,9.8136,6.08791291246935,149.451716640572,11.9225601902455,0,4.6055764,25406.1703481246,43243.9311745998,1.4338,0,0.15,0,4.61,34.85,0
"12025324","Pine",123.8436,85.3500388129347,4.89361519955227,0.0289,0.1215,0.0752,0.857013015096023,61.6272,0,418.9905,0,0,0,789.544054235342,5.25814246208686,0,57280.827,3.5311,384.0888,0.0041,16.49,14.43,0,0.03,0.02,1.02,0,0.03,45.99,3.1833,2.0537,14.0629,2.3071,61.6493,4.5041,0.1372,0.0543,7.0598,27.8057857438782,130.997061410203,1.49633667468688,0,2.366,51093.5048612027,79084.1943013035,0.9957,0,0.05,0,1.07,76.91,0.03
"12025330","Mountain",60.7752,84.3954085712593,5.05835490463215,0.0324,0.1359,0.0841,0.839324368788764,61.5008,0,419,0,0,0,806.460189325909,4.95612221836868,0,55660,3.615,393.1675,0.0045,23.85,10.11,0,0.04,0.02,1.51,0,0.02,45.74,2.9271,2.4141,14.4605,2.1173,61.6576,3.6929,0.1371,0.0689,7.0058,27.070931021206,138.656783852624,1.92389912332662,0,2.366,25628.1447884983,39335.8528374074,0.8979,0,0.06,0,1.57,79.7,0.02
"12025368","Elm",24.0885,90.1661699981319,3.3,0.0559,0.2346,0.1452,0.860002355156841,61.9795,0,419,0,0,0,788.478423119746,5.22374103545675,0,55660,3.5129,382.0098,0.0026,15.16,8.89,0,0,0,0.34,0,0.07,58.78,3.88,1.68,14.7,2.86,59.6,6.075,0.135,0.0172,8.0025,32.21,130.3,0.48,0,2.366,9643.2886116528,15026.1525657588,0.9834,0,0.01,0,0.34,82.83,0.07
"12025388","Salmon Trout",106.7994,84.0129867864426,5.27000252810409,0.0073,0.0308,0.0191,0.853238976224598,61.5691,0,419,0,0,0,809.076153946371,5.12114300739049,0,55660,3.6063,391.9552,0.0049,23.58,10.02,0.12,0.18,0.12,1.2,0.02,0.08,49.16,2.732,2.5474,14.3635,1.9642,62.1355,3.2228,0.1376,0.0794,6.7795,26.5635239242917,142.100330338934,2.79142281698212,0,2.366,35321.3346399161,58581.5903731847,1.111,0,0.28,0,1.62,82.76,0.1
"12025426","Cedar",19.1295,81.9028562691132,5.83326135027052,0,0,0,0.925626787346928,61.452,0,419,0,0,0,820.744289094331,4.84154627010115,0,55660,3.7026,402.5465,0.0056,35.61,5.74,0,0.08,0.04,2.45,0,0.01,39.17,2.357,2.8695,14.363,1.6739,62.8348,2.2505,0.1384,0.0999,6.4306,24.8140188191014,142.456927781698,2.568528816749,0,2.366,7695.32964233943,12055.7798502219,1.0057,0,0.11,0,2.57,80.52,0.01
"12025598","Yellow Dog",80.9631,69.802865194144,7.20124767949844,0,0,0,0.874040443856613,60.7587,0,418.9608,0,0,0.0124,856.686678524661,4.57135354677131,0,55655.3246,3.9783,431.9117,0.0047,25.82,10.68,0.06,0.22,0.2,0.49,0,0.04,23.74,2.8007,2.5229,14.4612,2.0195,61.8924,3.3647,0.1374,0.0758,6.8885,17.6445381785035,138.611331828944,12.7326557654042,0,2.18527,33233.7485432841,52701.1890570664,0.7818,0,0.28,0.0124,0.97,60.24,0.04
"12025610","Big Pup",14.9679,90.1095640671036,3.31043412903614,0,0,0,0.890443229378875,62,0,419,0,0,0,843.28275030365,4.85462349129938,0,55660,3.8228,415.0904,0.0063,18.13,0.19,0,0.03,0.01,1.3,0,0.02,74.08,3.9644,1.6569,14.6307,2.6927,58.6143,5.861,0.141,0.0213,8.3627,32.1794762792376,130.349167217846,0.48765919066803,0,2.366,6288.1100126073,10013.8508177816,0.7037,0,0.04,0,1.34,92.4,0.02
"12025770","Big Garlic",27.9684,82.9350749774746,5.50645514223195,0,0,0,0.87775942039839,62,0,419,0,0,0,832.876896096666,5.03360276029734,0,55660,3.8381,416.7318,0.0116,15.02,2.85,0,0.03,0,2,0.05,0.07,74.83,4.0884,1.6229,14.5288,2.447,57.1664,5.5466,0.1499,0.0273,8.8918,25.755295404814,140.69715536105,2.31212125112627,0,2.366,12064.3023213556,19254.7676585554,0.8363,0,0.05,0,2.03,92.7,0.12
"12025916","Clark",52.9686,90.4953581744656,3.40652071227104,0,0,0,0.885733412763648,62,0,419,0,0,0,855.371771650185,4.67507167392191,0,55660,3.9609,429.8074,0.0151,2.31,13.32,0,0.29,0.05,1.01,0,0,57.12,3.4554,1.587,13.3022,2.0874,59.2754,4.0349,0.1551,0.0351,7.8771,32.1910361232881,135.162094335134,1.08938355931627,0,2.366,23819.4509538,37082.5113133212,1.0007,0,0.18,0,1.35,72.75,0
"12026212","Lost",22.3299,87.2358627221797,4.25650235782516,0,0,0,0.91863564674644,61.6403,0,419,0,0,0,808.512332191367,5.08474443178429,0,55660,3.6081,392.0777,0.0026,23.6,3.12,0.01,0.19,0.12,2.58,0,0.85,64.79,3.88,1.68,14.7,2.86,59.6,6.075,0.135,0.0172,8.0025,29.5715303695941,137.185897384225,1.56160170891943,0,2.366,5332.946173937,9981.7982491202,1.4215,0,0.25,0,2.9,91.51,0.85
"12116558","Manistee",96.1992,85.5557909213382,5.86927634533343,0.1489,3.1054,1.3754,0.762419235719257,87.309,0,372.3561,0,0,0,892.549751384627,5.94196299684717,0,140193.0302,5.3244,598.6975,0.4238,55.18,4.28,0.03,1.04,0.25,8.35,4.58,4.97,1.06,0.7035,1.6997,9.1665,1.2547,46.0796,0.8515,0.1167,0.0338,21.1445,30.218033923359,150.982525821421,0.928308603397949,0,6.9911603,62495.4119769099,91626.1857196851,2.5907,0,0.81,0,9.67,60.52,9.55
"12952566","EB Au Sable",57.3939,84.6168418246538,5.87819729971304,0.0637,0.1668,0.2022,0.857027513962355,87.252,0,277,0,0,0,875.303191670195,5.99345083285506,0,94681,5.2577,593.9336,0.4408,41.65,1.95,0.01,0.47,0.09,2.99,0.53,0.96,1.82,0.6749,1.662,9.0424,1.2111,45.1777,0.7837,0.1126,0.0307,21.9396,29.4347951263113,152.4,0.48451223910555,0,5.5181093,35239.100065906,53629.2499327904,1.8933,0,0.36,0,3.56,45.42,1.49
"12953218","NB Au Sable",82.2762,85.8110950797436,5.66325395436347,0.1042,0.8338,0.6775,0.733801027763587,86.8494,0,281.0878,0,0,0,893.141122136778,6.01496882132622,0,94688.2978,5.2254,588.0778,0.4182,27.91,11.55,0.7,5.01,2.26,13.35,3.05,3.22,6.72,0.7152,1.7168,9.2518,1.2648,46.3797,0.8632,0.1182,0.0346,20.8927,29.3939383928767,152.4,3.27976055043864,0,6.555,72839.9364214853,90550.849293115,3.3149,0,4.33,0,21.32,46.18,6.27
"13156183","Mahoning",50.472,24.2144662981455,21.4540271041369,0.8328,19.1555,8.3285,0.429790116856523,40.7455,0.0396,404.2827,0,0,0.0198,1018.31295619,9.64420235148,0,838291.297,5.9196,828.3884,0.1024,38,0.21,0.79,2.8,1.35,7.07,16.77,23.61,2.03,1.9579,1.56,7.5729,0.6449,48.2329,12.4754,0.2818,0.3091,2.9635,2.83584415121255,150.724886233951,0.350723965763195,0,15.808,84377.336889732,101403.2672569,2.2681,0.0198,2.92,0.0396,12.01,40.24,40.38
"13184002","Stony",88.8561,47.6238981454284,17.2613554274833,0,8.9288,6.879,0.530358526567469,52.6457,0.0225,309.8142,0,0.0113,0,840.598416836998,8.75225164964701,0,1190810.5822,5.0063,627.2286,0.2447,31.58,0.51,0.2,4.08,1.4,9.01,7.23,15.14,3.85,1.0784,2.2513,11.9273,1.5741,55.7027,1.2184,0.1657,0.0583,13.0793,10.1988265859069,152.4,8.80661203901589,0.0113,26.9975456,208297.060485447,235441.254981487,2.4727,0,2.87,0.0226,14.69,35.94,22.37
"13184550","Paint",106.4061,62.7258466196957,12.1572532965685,0.008,5.3479,3.9105,0.549850278132304,59.54,0.047,308.6013,0,0,0.0282,815.915621125105,8.71718908305069,0.0188,1190490.3522,5.0347,629.5815,0.3616,17.22,0.47,1.42,12.91,5.61,19.02,1.54,10.29,3.47,0.833,1.8897,10.1113,1.367,49.4196,0.9822,0.1337,0.0424,18.3412,17.4645997174974,152.4,11.6386197971733,0.0094,28.8128524,474627.555059034,469000.798969878,4.0772,0,10.26,0.0564,38.96,21.16,11.83
"15588106","Fish",27.018,25.8695003331113,22.4877511658894,0.1607,4.1761,1.9066,0.660394425311584,43.9447,0,517,0.037,0,0.074,985.602022255163,10.0848242843438,0.037,1245118,5.6047,774.4981,0.1968,14.01,0.08,2.52,28.42,7.92,25.68,1.52,10.56,1.16,1.4978,1.6354,8.2772,0.7745,47.5545,8.8383,0.212,0.2074,8.8466,5.9229200532978,143.269760159893,3.54287008660893,0,23.2332889,159971.295351438,147737.040005736,5.9503,0,18.77,0.148,64.54,15.25,12.08
"15588128","Breakneck",43.1784,20.530001875938,26.9437191512423,0.6297,14.4838,6.2973,0.422865045181184,41.3005,0,512.082,0,0,0.0463,1004.14613662456,9.9686675238661,0,1244701.7329,5.6983,793.3995,0.1498,27.36,0.32,0.76,12.67,4.28,9.08,8.59,22.04,1.84,1.2773,2.5443,13.3993,1.742,60.7953,1.4099,0.1917,0.0712,8.8143,2.88780536101384,151.024334458896,1.13018009004502,0.0232,15.808,98394.23788439,108236.954402077,4.0676,0,8.34,0.0695,26.79,29.52,30.63
"15594737","Rocky",165.3129,14.5798741840473,32.1067444645881,0.1559,4.3498,2.123,0.610675065959351,37.4566,0.0181,360.2437,0.0121,0.006,0.0181,989.009308839782,10.1327128475455,0.0605,1291841.6228,5.703,780.5115,0.0877,37.88,0.51,1.37,17.95,6.41,16.82,0.98,9.23,4.68,1.4793,2.0319,10.3619,0.6906,51.9977,8.7381,0.1787,0.1762,5.6135,3.24995247194865,141.500927695298,1.79367386937136,0,15.5027358,697997.7236711,683732.988338748,3.2405,0,12.34,0.0967,42.55,43.07,10.21
"15604074","Chance",21.6405,19.7634489498856,29.0751374506134,2.0085,41.5087,24.1018,0.441734334103385,22.0002,0,342.6949,0,0,0,960.702389033063,10.1613009574964,0.0462,1853956.3728,5.6951,773.4798,0.0442,17.11,0.19,0.45,3.68,1.22,4.12,49.74,16.24,2.08,1.5979,1.6621,8.029,0.5881,66.5975,2.4523,0.1938,0.3334,2.7354,4.31923476814307,110.264519026825,1.53182491162404,0,15.215,36866.8205695325,45224.2101904644,1.6833,0,2.63,0.0462,9.47,19.38,65.98
"15604128","Chapel",2.3967,24.388002253098,26.2782162974089,0.7443,53.5877,31.2595,0.373291526261638,20.3357,0,339,0,0,0,952.557235001878,10.1362475092001,0,1854893,5.6625,767.5253,0.0439,17.05,0,0.6,1.61,1.46,3.98,68.23,3.23,0.45,1.5985,1.6627,8.0313,0.5885,66.5962,2.4492,0.1937,0.3316,2.7325,5.87440105144574,147.044010514457,0.702549755914382,0,10.599,2632.38859676008,3615.90115804311,2.5324,0,2.23,0,7.65,17.5,71.46
"22722377","U8",1.4148,66.300903307888,16.9337404580153,0,0,0,0.839372636541146,76,0,489,0,0,0,1159.27358101,17.993068376,0,193799,2.8005,435.6837,0.7059,0,15.01,23.47,9.8,23.03,7.82,0,0.38,0,3.3109,2.115,11.4837,1.1497,54.4025,9.0348,0.1691,0.0316,3.9806,15.2582951653944,152.4,1.24138040712468,0,9.622,1363.067341198,1594.39215463432,3.9202,0,40.56,0,64.12,15.01,0.38
"22722387","McQueen",2.412,66.3918171641791,18.5371791044776,0,0,0,0.844809062585827,76.4597,0,489,0,0,0,1160.57570928,17.9827978753,0,193799,2.8055,437.0558,0.8748,1.9,42.16,13.32,5.86,13.51,5.93,0,0,0,0.952,1.7699,8.9678,1.0986,72.7227,1.7127,0.0979,0.0219,21.6441,12.2253358208955,152.4,0.456679104477612,0,5.0321366,1811.094224465,2210.491863983,7.1343,0,23.59,0,38.62,44.06,0
"22723575","U36",227.7594,65.4451049923735,19.5158298625655,10.342,5.5157,0.8618,0.624513010883197,75.9607,0.0307,486.1773,0,0.0088,0.0044,1159.13916885,17.7626130096,0,193822.0757,3.1146,484.14,0.7229,6.01,26.94,0.56,5.11,1.67,7.3,5.68,10.38,0.85,3.0737,2.0803,11.2308,1.1445,56.2443,8.2987,0.1619,0.0306,5.7564,13.2364813526906,152.4,0.632092576640086,0,9.622,565153.701637016,578734.126563931,2.4117,0,3.69,0.0132,14.64,33.8,16.06
