"","Stream","COMID","A_Co","A_Cu","A_Fe","A_Mo","A_Ni","A_P","A_Zn","C_Co","C_Cu","C_Fe","C_Mo","C_Ni","C_P","C_Zn","Top5_Co","Top5_Cu","Top5_Fe","Top5_Mo","Top5_Ni","Top5_P","Top5_Zn"
"1","Elm",12025368,2,6.3125,2,3,1,3,2,3,2,3,2,3,3,2,2,5.11764705882353,2,3,2,3,2
"2","Cedar",12025426,2,6.5,2,3,1,3,2,3,2,3,2,3,3,2,2,5.28571428571429,2,3,2,3,2
"3","Pine",12025324,2.01162790697674,6.61627906976744,2,3,1,3,2,3,2,3,2,3,3,2,2,5.37647058823529,2,3,2,3,2
"4","Mountain",12025330,2,6.97674418604651,2,3,1,3,2,3,2,3,2,3,3,2,2,5.64285714285714,2,3,2,3,2
"5","Lost",12026212,3,3.06666666666667,2,3,1,3,2,3,2,3,2,3,3,2,3,3.13333333333333,2,2.93333333333333,2,3,2
"6","Yellow Dog",12025598,2.54545454545455,4.14545454545455,2.32727272727273,3,1.03636363636364,3.03636363636364,2.03636363636364,3,2.01818181818182,3.03636363636364,2,3.38181818181818,3.01818181818182,2,2,4.05454545454545,2,3,2,3,2
"7","Big Pup",12025610,3,2.4,2.5,3,1,3,2,3,2,3,2,3,3,2,3,3,2,2.6,2,3,2
"8","Clark",12025916,3,2.45454545454545,3,3,1,3,2,3,2,3,2,3.15625,3,2,3,3,2.25,3,2,3,2
"9","Big Garlic",12025770,3,2,3,3,1,3,2,3,2,3,2,3.04761904761905,3,2,3,3,2.52380952380952,3,2,3,2
"10","Salmon Trout",12025388,2.54166666666667,4.55555555555556,2,3,1,3,2,3,2,3,2,3,3,2,2.20833333333333,4.13888888888889,2,3,2,3,2
"11","Trap Rock",11937201,1,10,1,2,1,1,1,1,1,1,1,1,1,1,1,9.1063829787234,1,1,1,1,1
"12","Cliff",11936977,1,10,1,2,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1
"13","Trout Brook",11951997,3,7,3.90625,2.875,3,4,4,5,6.8125,5,2,5.625,4,3,3.15625,6.125,4,3,4,3,3
"14","Gratiot",11937025,1,10,1,2,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1
